[2861157.570] Initializing Modding Framework.
[2861157.570] Connected to modding database!
[2861157.570] Ensuring Foreign Key support is enabled and set to initially deferred.
[2861157.570] Checking database version...
[2861157.570] Modding database is up-to-date!
[2861157.570] Initializing Services...
[2861157.570] Component Discovery Service initialized.
[2861157.570] File Service initialized.
[2861157.570] Localization Service initialized.
[2861157.570] Mod Association Service initialized
[2861157.570] Mod Discovery Service initialized.
[2861157.570] Mod Loader Service initialized.
[2861157.570] Mod Selection Service missing. Skipping.
[2861157.570] Ownership Service initialized.
[2861157.570] Properties Service initialized.
[2861157.573] Setting Discovery Service initialized.
[2861157.574] Subscription Service - Detected 145 subscriptions
[2861157.575] Subscription Service - Subscription 3792052697 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 1178185727 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 1296567561 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 3693899014 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 3179425402 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 3344571433 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2749991372 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2865001760 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 1528155583 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2317145428 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2442822973 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.578] Subscription Service - Subscription 2384183359 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2329124484 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2503076363 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2511437298 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 1369684991 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 1360462633 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2266952591 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2465378070 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2701747165 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2652224074 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2616754773 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2589004769 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2553831629 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2573589760 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2604740398 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2672533453 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 2484412297 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 1850173521 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 1782215547 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.579] Subscription Service - Subscription 1894176600 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1782222841 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1770703400 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1770688835 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1818895938 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1828854812 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1770681973 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1889267110 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1362931045 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1292617460 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 2068247220 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1782204294 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 2375796165 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1601259406 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1132600299 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1459493312 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1126451168 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1459524722 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1619400469 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.581] Subscription Service - Subscription 1185630489 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2362219368 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2112359835 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2056401784 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2402394695 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2314657561 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2337885119 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2135724456 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2155632734 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2479197624 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2479195330 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 882664162 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2276345682 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 1679150838 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 1658551717 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2383232087 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2682409845 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 1897241626 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 1758381527 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2533189420 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 970184582 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 2494925002 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.582] Subscription Service - Subscription 1234108301 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 2187202390 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1714267495 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1710103474 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 2459772036 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1628605090 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1709115371 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 873246701 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 872296228 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 871712879 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 2139486665 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1579019534 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 2145663327 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 1312585482 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 900089445 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.584] Subscription Service - Subscription 2186513760 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1293801965 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1746376988 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1477315433 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 2356352540 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1652106496 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1752329484 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 2542898147 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1150492115 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 933787677 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 939149009 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1753346735 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 1331757859 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 2683624437 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 2460661464 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.585] Subscription Service - Subscription 2677280374 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2474028548 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2612473657 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2669325299 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 1839114973 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2333458984 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2860503037 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 870850597 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2920714385 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2890697127 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2409116842 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2495851756 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service - Subscription 2608223282 - Installed? 1, Downloading? 0, DownloadPending? 0
[2861157.586] Subscription Service initialized.
[2861157.586] User Data Service missing. Skipping.
[2861157.586] Services initialized!
[2861157.586] Modding Framework is initialized.
[2861157.586] Initializing Modding Framework took - 16ms.
[2861157.598] Verifying enabled mods can coexist.
[2861157.609] Discovering new mods...
[2861158.010] Finished Discovery.
[2861158.010] Discovery Summary:
[2861158.010] Deleted 0 mods.
[2861158.010] Discovered 0 mods.
[2861158.010] Discovering Mods took - 400ms.
[2861158.621] Bootstrapping game content
[2861158.621] Loading Vanilla DLL.
[2861158.623] Building gameplay database.
[2861158.752] Updating gameplay database with embedded GameCore data.
[2861158.761] Updated gameplay database with GameCore data.
[2861158.769] Initializing Vanilla DLL.
[2861158.769] Instantiate GameCore UI Manager.
[2861158.769] Saving a debug version of the gameplay database.
[2861158.829] Successfully bootstrapped game content.
[2861158.838] Set Default Enabled Mods
[2861158.838] Game Mode: Single-Player
[2861158.844] Configuring game content
[2861158.844] Enabled Mods (in no particular order):
[2861158.844] No active mods.
[2861158.844] Target Mods (in no particular order):
[2861158.844] 02A8BDDE-67EA-4D38-9540-26E685E3156E (LOC_AZTEC_MONTEZUMA_MOD_TITLE)
[2861158.844] 19ED1A36-D744-4A58-8F8B-0376C2BA86E5 (Barbarian Clans Game Mode)
[2861158.844] 19d1c7ec-54de-11ea-a2e3-2e728ce88125 (Tech and Civic Shuffle Game Mode)
[2861158.845] 1B28771A-C749-434B-9053-D1380C553DE9 (LOC_EXPANSION1_MOD_TITLE)
[2861158.845] 1B394FE9-23DC-4868-8F0A-5220CB8FB427 (Ethiopia Pack)
[2861158.845] 1F367231-A040-4793-BDBB-088816853683 (LOC_INDONESIA_KHMER_MOD_TITLE)
[2861158.845] 249D9276-0832-48E4-B370-14531FA4E33C (LOC_GREAT_BUILDERS_MOD_TITLE)
[2861158.845] 258EF3CA-890B-4863-8A52-982822EFF7BD (LOC_RULERS_OF_ENGLAND_MOD_TITLE)
[2861158.845] 2F3A65C2-0883-4BF6-8C70-EDA688C66F3C (LOC_MOD_ALEXANDER_SCENARIO_TITLE)
[2861158.845] 2c748261-f79c-4e12-a126-cd3c50c6915a (Crank Up The Difficulty!)
[2861158.845] 3809975F-263F-40A2-A747-8BFB171D821A (LOC_POLAND_JADWIGA_MOD_TITLE)
[2861158.846] 4873eb62-8ccc-4574-b784-dda455e74e68 (LOC_EXPANSION2_MOD_TITLE)
[2861158.846] 4dd01931-9d44-4a8a-8e74-712cba0f0072 (ZYLPVPMOD 2.0.3)
[2861158.846] 5B0445C9-1376-45AD-9B51-C96A83A8F17D (LOC_WARMACHINE_MOD_TITLE)
[2861158.846] 643EA320-8E1A-4CF1-A01C-00D88DDD131A (LOC_NUBIA_MOD_TITLE)
[2861158.846] 648CD2A8-057A-4EB5-9E41-E1F7D86B5443 (LOC_COLDWAR_MOD_TITLE)
[2861158.847] 6c067266-29a2-4c1f-8ee8-77fe7d631f11 (No More AI World Wonders)
[2861158.847] 7619F77B-BAA7-4912-AA6E-45C124E6ECFD (LOC_MOD_NUBIA_SCENARIO_TITLE)
[2861158.847] 7A66DB58-B354-4061-8C80-95B638DD6F6C (LOC_GREAT_NEGOTIATORS_MOD_TITLE)
[2861158.847] 7D27831B-BAA6-4A8B-A39C-94243BAD3F47 (LOC_RULERS_OF_CHINA_MOD_TITLE)
[2861158.847] 82AE6F24-930F-4640-833C-FCDFD4845757 (LOC_RULERS_OF_THE_SAHARA_MOD_TITLE)
[2861158.847] 8424840C-92EF-4426-A9B4-B4E0CB818049 (Babylon Pack)
[2861158.847] 8550ED6C-E370-426C-80CD-AB4B46B201DD (LOC_MOD_INDONESIA_KHMER_SCENARIO_TITLE)
[2861158.847] 9DE86512-DE1A-400D-8C0A-AB46EBBF76B9 (Maya and Gran Colombia Pack)
[2861158.847] A1100FC4-70F2-4129-AC27-2A65A685ED08 (Byzantium and Gaul Pack)
[2861158.847] A3F42CD4-6C3E-4F5A-BC81-BE29E0C0B87C (Vietnam and Kublai Khan Pack)
[2861158.847] A55FAFB4-9070-4597-9453-B28A99910CDA (Multiplayer Scenario: Pirates)
[2861158.847] C1F775D8-59B5-401B-B86D-78FAF3446EC7 (LOC_BLACKDEATH_MOD_TITLE)
[2861158.848] CD953AD5-2869-4654-91EC-E48D118EF3F3 (LOC_MOD_POLAND_SCENARIO_TITLE)
[2861158.848] CE5876CD-6900-46D1-9C9C-8DBA1F28872E (Catherine de Medici Persona Pack)
[2861158.848] D70C8F1F-3954-460F-A9D9-09498BF773C9 (LOC_MOD_AUSTRALIA_SCENARIO_TITLE)
[2861158.848] E2749E9A-8056-45CD-901B-C368C8E83DEB (LOC_MACEDONIA_PERSIA_MOD_TITLE)
[2861158.848] E3F53C61-371C-440B-96CE-077D318B36C0 (LOC_AUSTRALIA_MOD_TITLE)
[2861158.848] F264EE10-F21B-4A9A-BBCD-D534E9843E90 (LOC_CIV_ROYALE_MOD_TITLE)
[2861158.848] F48213B4-56F5-45DD-92F7-AC78E49BDA49 (LOC_GREAT_WARLORDS_MOD_TITLE)
[2861158.848] F653805E-F7C8-44E1-8CBD-FB48D7AABCBA (LOC_ANCIENT_RIVALS_MOD_TITLE)
[2861158.849] FFDF4E79-DEE2-47BB-919B-F5739106627A (Portugal Pack)
[2861158.849] f9102cb6-564f-4812-b31e-2a67830fe382 (Late Game AI)
[2861158.849] {455B6E2D-821D-4D49-9FCD-FC950AC6A521} (LOC_RELIGIOUS_COMBAT_MOD_TITLE)
[2861158.849] {5E991A08-08FD-4774-968B-A85377ECF60D} (LOC_NAPOLEON_MOD_TITLE)
[2861158.864] Warning: The activation order of mods is not the same as it was with a prior sorting algorithm.
[2861158.888] Warning: The activation order of mods is not the same as it was with a prior sorting algorithm.
[2861158.892] Game configuration needs to change to match target config.
[2861158.892] Performing pre-configure processing.
[2861158.892] Rebuilding configuration database.
[2861158.892] Localization database unchanged, no rollback needed.
[2861158.892] Configuration database unchanged, no rollback needed.
[2861158.892] ConfigureContent - Importing implicit files, pre settings
[2861159.063] Applying settings.
[2861159.063] Modding Framework - Apply Settings
[2861159.063] UpdateColors - Loading Data/Aztec_Montezuma_Colors.xml
[2861159.064] ModdingUpdateConfigurationDatabase - Loading Data/Aztec_Montezuma_ConfigData.xml
[2861159.065] ModdingUpdateConfigurationDatabase - Loading Data/Indonesia_Khmer_ConfigData.xml
[2861159.066] UISettingHandler - Loading DLC6.dep
[2861159.067] UpdateColors - Loading Data/Indonesia_Khmer_Colors.xml
[2861159.067] Creating database save point.
[2861159.067] LocalizedText - Loading Text/en_US/Indonesia_Khmer_ConfigText.xml
[2861159.068] LocalizedText - Loading Text/Indonesia_Khmer_Translations_ConfigText.xml
[2861159.075] LocalizedText - Loading Text/Indonesia_Khmer_Translations_ConfigText_China.xml
[2861159.076] Warning: Unable to load ../../../DLC/Indonesia_Khmer/Text/Indonesia_Khmer_Translations_ConfigText_China.xml
[2861159.076] Warning: LocalizedText - Failed loading XML.
[2861159.076] Successfully released save point.
[2861159.076] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Buildings.xml
[2861159.077] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Civilizations.xml
[2861159.077] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Features.xml
[2861159.077] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Leaders.xml
[2861159.078] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_UnitActions.xml
[2861159.078] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_UnitPortraits.xml
[2861159.079] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Units.xml
[2861159.079] UpdateIcons - Loading Data/Indonesia_Khmer_Icons_Wonders.xml
[2861159.080] UISettingHandler - Loading DLC2.dep
[2861159.080] UpdateColors - Loading Data/Poland_Jadwiga_Colors.xml
[2861159.081] ModdingUpdateConfigurationDatabase - Loading Data/Poland_Jadwiga_ConfigData.xml
[2861159.082] UpdateIcons - Loading Data/Poland_Jadwiga_Icons_Buildings.xml
[2861159.082] UpdateIcons - Loading Data/Poland_Jadwiga_Icons_Civilizations.xml
[2861159.082] UpdateIcons - Loading Data/Poland_Jadwiga_Icons_Leaders.xml
[2861159.084] UpdateIcons - Loading Data/Poland_Jadwiga_Icons_Units.xml
[2861159.084] Creating database save point.
[2861159.084] LocalizedText - Loading Text/Poland_Translations_ConfigText.xml
[2861159.086] LocalizedText - Loading Text/en_US/Poland_Jadwiga_ConfigText.xml
[2861159.087] Successfully released save point.
[2861159.087] ModdingUpdateConfigurationDatabase - Loading Data/Nubia_ConfigData.xml
[2861159.088] UISettingHandler - Loading DLC5.dep
[2861159.088] UpdateColors - Loading Data/Nubia_Colors.xml
[2861159.089] UpdateColors - Loading Data/Nubia_PlayerColors.xml
[2861159.089] Creating database save point.
[2861159.089] LocalizedText - Loading Text/en_US/Nubia_ConfigText.xml
[2861159.090] LocalizedText - Loading Text/Nubia_Amanitore_Translations_ConfigText.xml
[2861159.092] LocalizedText - Loading Text/Nubia_Amanitore_Translations_ConfigText_China.xml
[2861159.092] Warning: Unable to load ../../../DLC/Nubia_Amanitore/Text/Nubia_Amanitore_Translations_ConfigText_China.xml
[2861159.092] Warning: LocalizedText - Failed loading XML.
[2861159.092] Successfully released save point.
[2861159.092] UpdateIcons - Loading Data/Nubia_Icons_Civilizations.xml
[2861159.093] UpdateIcons - Loading Data/Nubia_Icons_Leaders.xml
[2861159.093] UpdateIcons - Loading Data/Nubia_Icons_UnitActions.xml
[2861159.093] UpdateIcons - Loading Data/Nubia_Icons_UnitPortraits.xml
[2861159.094] UpdateIcons - Loading Data/Nubia_Icons_Units.xml
[2861159.095] ModdingUpdateConfigurationDatabase - Loading ColdWarScenario_Config.xml
[2861159.095] UISettingHandler - Loading PiratesScenario.dep
[2861159.097] ModdingUpdateConfigurationDatabase - Loading Data/PiratesScenario_Config.xml
[2861159.098] UpdateColors - Loading Data/PiratesScenario_PlayerColors.xml
[2861159.098] UpdateIcons - Loading Data/PiratesScenario_Icons_Civilizations.xml
[2861159.099] UpdateIcons - Loading Data/PiratesScenario_Icons_Leaders.xml
[2861159.099] Creating database save point.
[2861159.099] LocalizedText - Loading Text/en_US/PiratesScenario_ConfigText.xml
[2861159.100] LocalizedText - Loading Text/en_US/PiratesScenario_PackageText.xml
[2861159.101] LocalizedText - Loading Text/PiratesScenario_Translations_ConfigText.xml
[2861159.110] LocalizedText - Loading Text/PiratesScenario_Translations_PackageText.xml
[2861159.111] Successfully released save point.
[2861159.113] UISettingHandler - Loading DLC4.dep
[2861159.113] ModdingUpdateConfigurationDatabase - Loading Data/Macedonia_Persia_ConfigData.xml
[2861159.113] UpdateColors - Loading Data/Macedonia_Persia_Colors.xml
[2861159.114] UpdateColors - Loading Data/Macedonia_Persia_PlayerColors.xml
[2861159.114] UpdateIcons - Loading Data/Macedonia_Persia_Icons_Buildings.xml
[2861159.114] UpdateIcons - Loading Data/Macedonia_Persia_Icons_Civilizations.xml
[2861159.115] UpdateIcons - Loading Data/Macedonia_Persia_Icons_Leaders.xml
[2861159.116] UpdateIcons - Loading Data/Macedonia_Persia_Icons_UnitActions.xml
[2861159.116] UpdateIcons - Loading Data/Macedonia_Persia_Icons_UnitPortraits.xml
[2861159.116] UpdateIcons - Loading Data/Macedonia_Persia_Icons_Units.xml
[2861159.118] Creating database save point.
[2861159.118] LocalizedText - Loading Text/en_US/Macedonia_Persia_ConfigText.xml
[2861159.118] LocalizedText - Loading Text/Macedonia_Persia_Translations_ConfigText.xml
[2861159.122] LocalizedText - Loading Text/Macedonia_Persia_Translations_ConfigText_China.xml
[2861159.122] Warning: Unable to load ../../../DLC/Macedonia_Persia/Text/Macedonia_Persia_Translations_ConfigText_China.xml
[2861159.122] Warning: LocalizedText - Failed loading XML.
[2861159.123] Successfully released save point.
[2861159.123] ModdingUpdateConfigurationDatabase - Loading Data/Australia_Config.xml
[2861159.123] UpdateColors - Loading Data/Australia_Colors.xml
